customerid,firstpurchasedate,lastpurchasedate,totalpurchases,totalrevenue,referralsource,churnindicator,discountsused,productcategory,responsetolastcampaign,feedbackscore,preferredpaymentmethod,supportticketsraised,hasloyaltycard,frequency
30896,2020-09-14,2022-05-29,29,9069,Online advertisements,0,1,Y36,ignored,5.0,debit card,0,no,18
17488,2022-05-01,2023-08-22,21,8718,Word of mouth,1,4,I27,ignored,5.0,credit card,0,no,8
43800,2020-06-06,2022-06-13,11,11464,Social media promotions,0,6,L29,ignored,4.538105658559232,debit card,0,no,8
25537,2020-01-02,2021-10-01,15,11846,Online advertisements,0,4,I45,ignored,4.23489016597182,debit card,0,no,10
18609,2022-09-04,2022-10-13,27,5831,Influencer endorsements,0,1,A66,ignored,5.0,paypal,0,no,27
42589,2021-10-03,2023-07-26,14,10024,Influencer endorsements,0,3,A49,ignored,2.2451321648345135,debit card,0,yes,4
28937,2019-12-10,2022-12-09,25,11861,Online advertisements,1,3,R48,ignored,2.6501723135725106,debit card,0,yes,18
39755,2021-01-02,2022-03-05,20,6219,Online advertisements,0,2,S75,ignored,4.5535289621161334,credit card,0,no,4
6271,2020-06-11,2021-02-07,7,5530,Traditional media outreach,0,6,U60,purchased,5.0,eft,1,no,4
46458,2019-10-31,2023-08-29,28,10963,Social media promotions,1,6,A86,ignored,5.0,debit card,0,no,3
20046,2021-11-01,2023-07-30,29,7058,Influencer endorsements,0,6,R38,ignored,5.0,apple pay,0,no,13
25242,2019-02-22,2019-03-14,12,7900,Word of mouth,0,0,V31,ignored,5.0,credit card,0,no,12
36104,2020-09-29,2023-02-20,21,6520,Social media promotions,1,3,T60,ignored,4.88973897623042,debit card,0,no,3
19237,2023-03-20,2023-07-16,24,8420,Word of mouth,0,1,M94,ignored,5.0,credit card,0,no,2
24461,2020-06-11,2023-07-10,28,7659,Email campaigns,1,3,F02,ignored,3.9506244692703167,debit card,0,no,25
20985,2020-03-06,2022-03-27,26,6223,Traditional media outreach,1,4,X30,purchased,2.1481412177223755,cash,1,yes,14
38016,2021-10-31,2022-01-22,3,5874,Social media promotions,1,0,P37,ignored,3.9935649993533153,debit card,0,yes,3
24690,2020-02-13,2022-08-29,20,6642,Word of mouth,1,6,G43,ignored,5.0,credit card,0,no,5
32660,2021-06-03,2021-11-15,14,7643,Word of mouth,0,5,H97,ignored,5.0,credit card,0,no,13
41496,2019-07-28,2022-11-23,15,11390,Social media promotions,1,2,F18,ignored,4.515279624112085,debit card,0,no,8
31645,2022-10-20,2023-02-12,25,9560,Word of mouth,0,0,K85,ignored,5.0,credit card,0,no,7
8460,2021-04-21,2023-08-26,30,7534,Word of mouth,0,4,M56,ignored,4.939639191549578,credit card,0,no,3
48803,2019-12-28,2022-11-02,31,6470,Influencer endorsements,0,6,O65,opened mail,3.643994472854198,google pay,0,no,14
35643,2020-04-22,2021-05-05,9,4759,Social media promotions,0,4,B10,ignored,4.091626484499291,debit card,0,no,7
14060,2019-03-01,2020-05-03,20,5541,Online advertisements,0,4,G52,ignored,5.0,debit card,0,no,17
15595,2020-04-20,2023-07-17,30,6035,Event sponsorships,0,6,N71,opened mail,5.0,cash,0,no,3
26111,2021-01-28,2023-08-14,23,8400,Word of mouth,0,4,R96,ignored,4.609395763432241,credit card,0,no,12
42956,2021-06-12,2022-01-27,20,7761,Traditional media outreach,0,1,N25,purchased,5.0,cash,0,no,8
38876,2022-02-07,2022-05-12,5,10983,Online advertisements,0,2,L96,ignored,4.499667291781441,debit card,0,no,4
23110,2021-01-14,2023-03-01,13,12235,In-store promotions,0,5,Y09,opened mail,5.0,cash,0,no,9
46676,2019-06-26,2021-01-01,8,4406,Influencer endorsements,1,4,L92,ignored,5.0,debit card,0,no,6
11478,2020-10-24,2021-08-08,16,7667,In-store promotions,1,4,R43,opened mail,2.516301820876258,cash,0,yes,5
25083,2019-07-27,2021-05-11,25,10964,Traditional media outreach,1,3,T82,purchased,5.0,eft,1,no,25
46286,2020-09-30,2022-10-31,28,9328,Online advertisements,0,2,H44,ignored,5.0,debit card,0,no,7
45556,2019-11-12,2023-03-11,31,7006,Traditional media outreach,1,0,A10,purchased,4.05318534146715,cash,1,no,5
17566,2023-01-14,2023-07-02,22,10306,Social media promotions,1,2,O07,ignored,5.0,debit card,0,no,8
6503,2019-12-05,2022-06-14,22,7673,Social media promotions,1,2,Z40,ignored,4.725223162785135,debit card,0,no,12
22812,2021-02-08,2022-04-07,21,12011,Online advertisements,0,6,G13,ignored,4.996115170192912,debit card,0,no,4
47587,2019-10-20,2023-04-04,22,5313,Influencer endorsements,0,6,Q04,ignored,4.302171263305288,debit card,0,no,21
14645,2019-03-06,2019-11-21,14,6411,Word of mouth,0,6,V56,ignored,4.87848584775691,credit card,0,no,2
43368,2019-04-22,2019-05-16,24,5842,Influencer endorsements,0,5,I21,ignored,5.0,debit card,0,no,24
14433,2019-08-29,2022-08-17,13,9946,Influencer endorsements,1,2,G30,ignored,5.0,debit card,0,no,8
39032,2021-06-17,2021-06-19,11,6229,Influencer endorsements,1,5,I79,opened mail,5.0,google pay,0,no,11
5647,2019-11-05,2021-09-28,13,10868,In-store promotions,1,4,U67,opened mail,4.738392165286143,cash,0,no,4
30197,2021-01-27,2023-08-07,17,5329,Social media promotions,1,6,Q50,ignored,3.9041407489043,debit card,0,yes,1
31480,2021-10-04,2021-10-16,8,8099,Online advertisements,0,4,B03,ignored,1.2353083980753707,debit card,0,yes,8
19169,2021-05-25,2023-02-07,21,5454,Online advertisements,0,6,W01,ignored,4.175390334973613,credit card,0,no,1
22980,2021-09-22,2023-05-14,18,10144,Online advertisements,0,1,X43,ignored,5.0,credit card,0,no,11
19658,2021-02-27,2021-09-02,30,6300,Word of mouth,1,5,Q06,ignored,5.0,credit card,0,no,4
6594,2021-11-26,2022-12-19,18,11380,Online advertisements,0,5,O23,ignored,4.749955101104078,debit card,0,no,7
40980,2019-04-29,2021-07-23,14,11469,Online advertisements,0,0,C72,ignored,5.0,credit card,0,no,12
13372,2019-12-28,2020-05-12,15,7815,Traditional media outreach,1,3,P60,purchased,5.0,cash,1,no,6
6484,2019-07-10,2021-04-29,31,4842,Influencer endorsements,1,2,J78,ignored,1.3843176354583717,debit card,0,yes,24
24487,2020-08-22,2023-02-16,20,10618,Online advertisements,0,0,Q39,ignored,5.0,debit card,0,no,6
18933,2020-05-02,2020-12-05,11,9052,Influencer endorsements,0,5,U43,ignored,4.771370778872224,debit card,0,no,9
48362,2020-10-11,2020-10-24,13,12339,Word of mouth,0,0,F15,ignored,3.58897543476152,credit card,0,no,13
24901,2019-05-27,2022-07-02,25,12233,Social media promotions,0,1,B71,ignored,4.274959110396903,debit card,0,no,8
49889,2021-02-23,2022-04-26,14,11997,Influencer endorsements,0,3,O62,ignored,4.937988527722056,debit card,0,no,1
26987,2019-02-25,2020-11-29,28,8858,Social media promotions,0,5,K74,ignored,4.6533152247691465,debit card,0,no,15
17024,2019-02-15,2019-07-09,6,10991,Social media promotions,1,5,G70,ignored,4.970476646441782,debit card,0,no,5
19228,2020-11-10,2022-04-05,22,6709,Traditional media outreach,1,2,I49,purchased,4.580117033042031,eft,<2,no,9
31524,2019-12-04,2023-01-17,15,10668,In-store promotions,1,6,T38,opened mail,5.0,cash,0,no,8
39859,2021-01-16,2022-09-12,11,5310,Influencer endorsements,0,3,U13,ignored,5.0,debit card,0,no,6
27939,2021-10-05,2023-07-11,22,8740,Influencer endorsements,1,1,I30,ignored,5.0,debit card,0,no,1
12427,2019-09-30,2022-09-19,20,8409,Influencer endorsements,0,4,P60,ignored,4.964020722957228,debit card,0,no,19
47969,2019-03-24,2021-03-27,24,11028,Online advertisements,0,0,N88,ignored,4.021941467597564,credit card,0,no,9
13790,2019-03-18,2022-07-18,9,6569,Social media promotions,1,2,K12,ignored,4.768710908767414,debit card,0,no,2
13755,2021-09-04,2023-03-24,17,6572,Word of mouth,0,5,X73,ignored,3.965557085764044,credit card,0,yes,6
48069,2020-01-12,2020-01-20,12,10068,Social media promotions,0,4,R69,ignored,5.0,debit card,0,no,12
29612,2021-12-18,2022-10-15,25,10713,Influencer endorsements,1,1,P35,ignored,5.0,debit card,0,no,3
40487,2020-06-15,2023-02-27,14,12436,Online advertisements,1,3,Z64,ignored,5.0,credit card,0,no,7
49936,2019-05-21,2020-02-02,17,11189,Traditional media outreach,1,0,E47,purchased,5.0,cash,1,no,15
23137,2021-07-13,2022-05-11,16,5185,Event sponsorships,0,2,B20,opened mail,4.866177921645052,cash,0,no,9
9513,2019-09-27,2020-04-05,22,10539,Influencer endorsements,1,5,F26,ignored,4.603044569299548,apple pay,0,no,6
45499,2020-05-18,2021-11-04,22,10744,Email campaigns,1,5,G79,ignored,5.0,debit card,0,no,9
46526,2019-02-24,2020-03-22,28,6816,In-store promotions,0,4,I72,opened mail,4.3122855758892555,cash,0,no,19
16884,2019-07-22,2020-03-16,20,8554,Word of mouth,1,4,E93,ignored,4.228587058704817,credit card,0,no,5
22623,2020-10-14,2022-05-18,25,10019,In-store promotions,1,0,B01,opened mail,4.43066768953284,cash,0,no,1
45358,2021-08-11,2021-11-14,10,6336,Word of mouth,1,3,H15,ignored,4.677736599580784,credit card,0,no,6
23036,2020-01-05,2023-01-10,18,8207,In-store promotions,0,1,T00,opened mail,2.1872469489387236,cash,0,yes,8
10598,2022-03-20,2023-04-16,18,11551,Online advertisements,0,6,F18,ignored,5.0,credit card,0,no,1
43117,2019-09-04,2022-03-27,28,7636,In-store promotions,0,3,S35,opened mail,5.0,cash,0,no,25
23916,2020-03-08,2022-08-12,17,6752,Traditional media outreach,0,3,E08,purchased,4.795575273892632,cash,0,no,1
28414,2021-04-06,2022-07-22,14,6332,Word of mouth,1,3,X06,ignored,2.036835817103303,credit card,0,yes,2
24543,2019-02-27,2021-01-18,15,9316,Social media promotions,0,6,J71,ignored,5.0,debit card,0,no,1
13171,2019-03-26,2020-02-08,5,9898,Traditional media outreach,0,0,Y32,purchased,4.649822336649968,eft,1,no,1
37086,2019-12-24,2021-01-12,17,5346,Social media promotions,1,6,V69,ignored,4.940935476125315,debit card,0,no,9
29145,2019-07-02,2021-04-02,21,5839,In-store promotions,1,0,Z98,opened mail,2.7133675535640704,cash,0,yes,13
33599,2019-06-24,2020-11-18,30,12130,Influencer endorsements,1,6,W01,ignored,4.796301896423281,debit card,0,no,21
43105,2020-05-18,2023-02-07,23,9257,Online advertisements,0,1,Y71,ignored,5.0,debit card,0,no,1
48343,2021-03-31,2021-12-23,13,4740,Online advertisements,0,3,J35,ignored,5.0,debit card,0,no,11
5317,2022-10-23,2022-11-29,20,4782,Online advertisements,0,0,Z20,ignored,4.2901536349599745,credit card,0,no,20
24025,2020-12-03,2021-09-24,26,4538,Influencer endorsements,1,6,Q15,opened mail,4.869773799583522,google pay,0,no,17
35006,2019-10-04,2021-11-07,25,4758,Social media promotions,1,1,U30,ignored,3.747578119475975,debit card,0,yes,22
5800,2020-02-11,2023-03-14,7,9331,Email campaigns,0,6,U88,ignored,2.4244376040008935,debit card,0,yes,1
19830,2019-08-05,2023-06-10,37,7856,Social media promotions,1,5,Z82,ignored,5.0,debit card,0,no,2
14803,2020-06-11,2021-01-07,7,6027,Influencer endorsements,1,1,C46,ignored,5.0,debit card,0,no,6
16875,2021-02-16,2023-05-16,12,11026,In-store promotions,1,3,B57,opened mail,5.0,cash,0,no,7
41950,2020-05-14,2021-02-23,26,9404,Traditional media outreach,0,2,Q54,purchased,5.0,eft,1,no,8
31544,2020-08-29,2022-04-28,18,11052,Social media promotions,1,3,M33,ignored,5.0,debit card,0,no,14
32741,2019-11-21,2022-06-23,30,10816,In-store promotions,1,2,S74,opened mail,5.0,cash,0,no,26
30504,2020-05-05,2022-04-16,18,7570,Influencer endorsements,0,1,G49,opened mail,1.1095366049773712,google pay,0,yes,1
44927,2019-05-20,2020-10-08,20,8235,Influencer endorsements,0,5,P02,ignored,4.247544287018046,debit card,0,no,15
48389,2021-09-05,2023-01-17,12,12417,Traditional media outreach,1,5,F83,purchased,5.0,cash,0,no,2
6912,2020-12-04,2022-01-15,10,6551,Online advertisements,1,0,H85,ignored,4.360849926279359,credit card,0,no,4
39897,2019-02-05,2019-05-07,23,11305,Word of mouth,0,5,Y35,ignored,5.0,credit card,0,no,10
42302,2020-01-18,2020-09-14,12,7234,In-store promotions,0,4,D04,opened mail,5.0,cash,0,no,12
44902,2020-10-04,2020-11-08,17,6967,Social media promotions,1,1,J54,ignored,5.0,debit card,0,no,17
13858,2019-05-04,2019-05-21,8,5707,In-store promotions,1,0,Q44,opened mail,4.182800030245631,cash,0,no,8
39727,2021-02-14,2022-11-03,11,7060,In-store promotions,1,5,K83,opened mail,5.0,cash,0,no,1
14694,2020-01-19,2022-01-20,29,8130,Word of mouth,1,1,J12,ignored,4.44833634145818,credit card,0,no,3
27493,2020-05-27,2023-02-25,21,10607,In-store promotions,0,3,Q30,opened mail,5.0,cash,0,no,3
9168,2022-08-13,2023-05-29,27,7562,Social media promotions,1,5,V56,ignored,3.98290523285969,debit card,0,no,12
42328,2021-06-11,2022-11-09,22,5540,Email campaigns,1,6,U90,ignored,5.0,debit card,0,no,6
24973,2020-09-16,2022-03-11,21,6108,Influencer endorsements,0,2,B02,ignored,5.0,debit card,0,no,9
31042,2022-01-24,2023-07-02,13,8030,Event sponsorships,1,1,F33,opened mail,4.879268626086468,cash,0,no,6
22928,2019-05-21,2022-01-01,29,7611,Word of mouth,0,0,V62,ignored,4.347652947583297,credit card,0,no,9
45109,2019-09-30,2021-07-31,13,10938,Social media promotions,1,3,S99,ignored,5.0,debit card,0,no,7
18904,2019-07-12,2022-10-03,31,4875,Influencer endorsements,1,4,T79,ignored,4.223675598106453,apple pay,0,no,18
49229,2022-04-06,2023-06-29,9,12084,Influencer endorsements,0,3,A28,ignored,5.0,apple pay,0,no,1
15089,2021-09-19,2022-06-16,18,5607,Influencer endorsements,0,5,U44,ignored,2.456453403195728,apple pay,0,yes,6
31816,2019-06-06,2019-12-12,12,6360,Word of mouth,1,2,P64,ignored,5.0,credit card,0,no,9
49044,2022-02-25,2022-07-22,8,4957,Online advertisements,1,3,N71,ignored,5.0,debit card,0,no,7
26201,2020-04-23,2021-09-01,8,5282,Online advertisements,1,4,K27,ignored,4.402274624023565,debit card,0,no,5
44330,2019-11-28,2020-04-23,18,9161,In-store promotions,0,6,M57,opened mail,1.7492929116644371,cash,0,yes,10
35742,2020-11-20,2021-09-12,28,10267,Online advertisements,1,0,T74,ignored,5.0,credit card,0,no,4
44210,2019-03-11,2023-05-31,38,11363,Online advertisements,0,1,U31,ignored,1.6595469950926396,credit card,0,yes,30
32298,2021-05-15,2022-02-15,20,11566,Traditional media outreach,0,2,U62,purchased,1.7160136409328435,cash,0,yes,3
34435,2022-08-14,2023-02-18,30,12329,Word of mouth,1,4,L53,ignored,5.0,credit card,0,no,1
30665,2019-06-14,2022-12-13,15,9747,Traditional media outreach,0,5,P19,purchased,4.760669638167555,eft,<2,no,11
7279,2020-12-21,2022-05-14,27,11669,Influencer endorsements,1,5,A88,ignored,4.178168616022838,paypal,0,no,4
41521,2022-12-04,2023-07-04,31,12525,In-store promotions,1,5,I46,opened mail,5.0,cash,0,no,9
10742,2020-12-27,2022-11-20,20,6854,Online advertisements,1,2,K75,ignored,2.9411449472038798,debit card,0,yes,7
31455,2020-08-15,2020-09-04,11,8894,Word of mouth,1,3,I07,ignored,4.610784269804538,credit card,0,no,11
12003,2020-03-19,2021-07-13,20,6346,Influencer endorsements,1,2,X19,opened mail,3.611336346952953,google pay,0,no,4
46127,2019-06-24,2019-10-02,16,7208,In-store promotions,0,5,I66,opened mail,5.0,cash,0,no,7
11204,2021-07-09,2021-11-07,4,11042,Influencer endorsements,0,6,P89,opened mail,5.0,google pay,0,no,3
20423,2020-12-12,2022-03-21,10,8225,Word of mouth,1,4,F35,ignored,5.0,credit card,0,no,6
14562,2020-07-25,2022-08-27,26,7936,Influencer endorsements,1,1,E15,opened mail,4.916233833313215,google pay,0,no,22
8619,2021-01-29,2021-07-10,22,10468,Influencer endorsements,0,1,L80,opened mail,2.010895473025343,google pay,0,yes,1
5521,2022-07-01,2022-10-30,26,8202,Influencer endorsements,0,2,C50,ignored,2.8701130411088656,paypal,0,yes,11
16847,2020-02-13,2021-12-19,31,9099,Influencer endorsements,0,5,R41,opened mail,4.218618331258859,google pay,0,no,4
31186,2020-07-08,2022-04-01,19,6370,In-store promotions,0,0,B92,opened mail,5.0,cash,0,no,3
47900,2019-02-13,2019-03-28,31,10206,Influencer endorsements,1,6,G60,ignored,4.8523478009526375,debit card,0,no,31
11703,2021-06-02,2021-10-14,9,10542,Word of mouth,1,2,B51,ignored,4.823912127456629,credit card,0,no,1
12238,2020-02-16,2021-09-03,28,7219,Social media promotions,0,5,W41,ignored,2.891927478126056,debit card,0,yes,16
44965,2023-03-07,2023-08-18,10,4764,Word of mouth,1,3,C54,ignored,5.0,credit card,0,no,3
5734,2020-03-11,2023-08-22,21,8658,Social media promotions,0,1,B98,ignored,5.0,debit card,0,no,14
47284,2020-12-16,2023-06-13,22,7519,Social media promotions,1,1,D24,ignored,5.0,debit card,0,no,11
15166,2020-09-09,2023-08-25,18,6263,Word of mouth,0,6,S46,ignored,5.0,credit card,0,no,2
18077,2019-07-05,2019-07-17,22,4515,Online advertisements,1,1,Y55,ignored,4.3507167174921655,debit card,0,no,22
36424,2021-01-23,2021-05-12,12,11484,Word of mouth,0,0,R20,ignored,3.4315954105976694,credit card,0,yes,5
26193,2022-01-11,2022-05-21,23,12416,In-store promotions,0,5,D03,opened mail,4.743076134782676,cash,0,no,1
7174,2020-10-08,2022-04-26,19,6784,Traditional media outreach,1,5,U59,purchased,5.0,cash,0,no,12
20662,2021-06-11,2023-01-28,13,8335,Word of mouth,0,6,W45,ignored,5.0,credit card,0,no,5
9337,2022-09-12,2022-11-29,25,12142,Traditional media outreach,1,5,T28,purchased,5.0,cash,0,no,25
13040,2019-05-21,2023-06-26,13,9842,Email campaigns,1,6,L77,ignored,5.0,debit card,0,no,1
8843,2019-03-25,2021-02-15,19,6890,Online advertisements,0,5,H68,ignored,5.0,debit card,0,no,16
23342,2020-11-28,2020-11-28,26,11380,Word of mouth,1,0,E28,ignored,5.0,credit card,0,no,26
16550,2019-08-16,2020-07-18,19,12061,Email campaigns,1,4,T49,ignored,5.0,debit card,0,no,2
12149,2021-03-13,2023-07-28,26,6124,In-store promotions,1,2,E53,opened mail,5.0,cash,0,no,23
22845,2021-04-14,2022-01-22,14,12582,Influencer endorsements,1,2,Y28,ignored,4.547607986084676,apple pay,0,no,4
5708,2021-07-31,2022-05-09,4,7167,Word of mouth,1,5,H62,ignored,5.0,credit card,0,no,3
16827,2019-05-19,2022-06-13,23,5537,Word of mouth,0,3,X67,ignored,5.0,credit card,0,no,13
36718,2021-05-27,2021-06-09,8,8517,Social media promotions,1,1,F49,ignored,4.552840008764052,debit card,0,no,8
26935,2019-06-29,2021-06-22,29,7820,Online advertisements,1,0,O90,ignored,5.0,debit card,0,no,15
33880,2020-10-22,2021-08-06,23,10245,Online advertisements,1,3,C73,ignored,5.0,credit card,0,no,10
22353,2021-10-23,2021-12-19,21,9178,Online advertisements,1,3,L25,ignored,2.027083654828208,debit card,0,yes,21
49444,2019-08-06,2023-02-05,23,8306,In-store promotions,1,5,M06,opened mail,5.0,cash,0,no,20
38188,2019-10-03,2023-06-28,27,8037,Event sponsorships,0,0,T37,opened mail,3.4375653251471427,cash,0,yes,19
13875,2020-09-06,2023-04-25,12,7353,Social media promotions,1,2,W30,ignored,5.0,debit card,0,no,10
20322,2020-12-21,2022-08-21,18,10329,Event sponsorships,0,1,C93,opened mail,5.0,cash,0,no,5
7952,2021-01-31,2023-06-07,20,4676,Online advertisements,0,2,T40,ignored,2.542290139011367,debit card,0,yes,6
49124,2020-05-31,2020-07-02,18,6399,Social media promotions,0,3,O29,ignored,3.6624157460811584,debit card,0,yes,18
25188,2022-02-23,2022-03-11,19,5627,Online advertisements,0,1,D88,ignored,5.0,credit card,0,no,19
23356,2022-07-07,2023-06-23,22,10737,Influencer endorsements,1,4,E01,ignored,4.321796908587609,debit card,0,no,2
18734,2020-12-07,2021-03-05,5,8135,Traditional media outreach,0,3,H53,purchased,1.335461914141156,cash,1,yes,5
18094,2019-09-18,2020-10-26,24,5095,Influencer endorsements,0,2,C76,ignored,5.0,debit card,0,no,16
17001,2020-11-25,2023-07-16,12,8552,Online advertisements,1,2,D32,ignored,4.473706207689308,debit card,0,no,9
12956,2019-02-28,2020-11-26,27,12301,Influencer endorsements,1,5,A62,ignored,2.5176836525300743,debit card,0,yes,16
38999,2019-05-30,2023-01-29,36,11870,Word of mouth,1,2,S88,ignored,5.0,credit card,0,no,3
18909,2021-03-27,2021-04-18,28,11937,In-store promotions,0,0,Q78,opened mail,5.0,cash,0,no,28
32264,2020-03-28,2022-10-23,25,7241,Email campaigns,1,3,K30,ignored,5.0,debit card,0,no,10
35485,2021-10-18,2023-03-09,19,8608,Social media promotions,1,6,A77,ignored,5.0,debit card,0,no,10
5283,2019-11-19,2023-02-21,23,5488,Influencer endorsements,0,6,Y32,ignored,4.56323506887518,debit card,0,no,3
30014,2020-05-05,2022-05-02,29,7763,Influencer endorsements,1,1,C49,ignored,4.669095444855257,debit card,0,no,19
49350,2021-02-26,2023-04-30,29,4424,Word of mouth,1,2,I16,ignored,4.327551764840762,credit card,0,no,15
47544,2020-11-14,2023-01-20,23,10544,Influencer endorsements,1,5,F87,ignored,5.0,apple pay,0,no,22
9550,2020-11-25,2021-09-29,31,10068,Online advertisements,1,5,V11,ignored,5.0,credit card,0,no,1
48697,2020-09-15,2021-01-15,15,8636,Influencer endorsements,0,2,K13,ignored,5.0,apple pay,0,no,12
22987,2019-07-09,2022-02-08,17,12468,In-store promotions,1,0,O12,opened mail,5.0,cash,0,no,1
41774,2020-06-07,2020-06-26,7,6635,In-store promotions,1,5,O91,opened mail,5.0,cash,0,no,7
37662,2020-04-19,2021-02-08,12,11695,Influencer endorsements,0,6,F31,ignored,4.489785978061266,debit card,0,no,4
38175,2022-08-04,2022-11-16,17,8147,Email campaigns,1,1,K33,ignored,4.219751264384067,debit card,0,no,4
14545,2021-08-12,2023-03-05,30,7575,Word of mouth,0,3,L08,ignored,2.5074523967368565,credit card,0,yes,9
35113,2019-11-03,2021-03-14,21,9297,Influencer endorsements,1,4,Q30,opened mail,1.0395955717990777,afterpay,0,yes,6
47104,2021-02-09,2022-10-09,31,9437,Online advertisements,0,0,F35,ignored,5.0,credit card,0,no,3
9504,2019-10-07,2019-10-24,26,11827,Social media promotions,0,5,Z15,ignored,4.818550251194441,debit card,0,no,26
36185,2023-02-24,2023-07-13,29,6414,Online advertisements,0,3,Z81,ignored,5.0,debit card,0,no,2
41424,2019-10-23,2023-05-31,24,5781,Word of mouth,0,4,Y59,ignored,5.0,credit card,0,no,23
8396,2022-12-02,2023-08-08,20,5498,Influencer endorsements,1,2,S69,ignored,4.579834233670363,debit card,0,no,14
30252,2019-04-11,2020-11-01,19,7826,Word of mouth,0,2,S36,ignored,4.996728214079463,credit card,0,no,5
7362,2021-11-22,2022-05-09,7,8055,Influencer endorsements,1,1,W38,opened mail,4.277997434019938,google pay,0,no,4
9449,2019-10-11,2020-05-07,28,12338,Online advertisements,0,4,M36,ignored,4.779684365365578,debit card,0,no,3
49555,2021-10-29,2022-07-04,12,4587,Word of mouth,0,2,P36,ignored,5.0,credit card,0,no,12
14478,2021-06-30,2022-08-30,30,9809,Email campaigns,0,2,G59,ignored,4.975880543758885,debit card,0,no,18
24683,2019-08-01,2021-01-03,20,6492,Word of mouth,1,6,G68,ignored,5.0,credit card,0,no,20
21577,2019-12-02,2022-11-27,28,6530,Online advertisements,0,5,I77,ignored,5.0,credit card,0,no,20
40867,2020-07-02,2023-05-08,24,9642,Influencer endorsements,1,1,Q03,ignored,5.0,apple pay,0,no,19
7298,2020-09-27,2023-06-26,18,10047,Word of mouth,1,3,H12,ignored,5.0,credit card,0,no,9
11839,2022-06-29,2023-05-22,17,9585,In-store promotions,1,2,A95,opened mail,4.503687035694734,cash,0,no,16
12743,2022-03-05,2022-12-20,19,10176,Word of mouth,1,6,Y73,ignored,1.7111111340505745,credit card,0,yes,6
24408,2019-09-09,2020-08-10,12,12313,Online advertisements,1,0,H67,ignored,4.774360386181588,credit card,0,no,9
15229,2019-11-18,2022-05-07,28,11947,Influencer endorsements,1,0,N96,opened mail,4.000509989015944,google pay,0,no,4
48544,2022-01-29,2022-05-09,26,12223,Online advertisements,1,3,H08,ignored,5.0,debit card,0,no,6
46769,2019-10-11,2020-10-16,21,11755,Word of mouth,1,4,I25,ignored,5.0,credit card,0,no,13
45701,2021-11-05,2022-10-19,5,10865,Online advertisements,1,1,X62,ignored,2.8749118332547883,debit card,0,yes,2
22433,2019-03-11,2020-07-11,13,5897,Online advertisements,0,6,R76,ignored,3.1529054440502287,credit card,0,yes,4
21330,2020-03-29,2021-02-16,7,6955,In-store promotions,0,5,J34,opened mail,3.6664562495748334,cash,0,no,2
16119,2020-01-22,2023-01-24,15,9809,Online advertisements,0,6,A80,ignored,5.0,debit card,0,no,12
8593,2019-04-17,2021-08-27,30,7351,Influencer endorsements,0,0,F61,opened mail,5.0,sezzle,0,no,2
41928,2020-11-12,2023-06-11,21,5638,In-store promotions,0,0,F05,opened mail,5.0,cash,0,no,4
43931,2022-11-11,2023-08-13,6,9127,Social media promotions,1,3,V92,ignored,5.0,debit card,0,no,4
20983,2019-09-04,2022-02-01,30,8365,Event sponsorships,1,4,C73,opened mail,4.095002761822931,cash,0,no,7
5070,2020-04-03,2022-08-02,10,10086,Online advertisements,1,4,S21,ignored,4.069284901444226,debit card,0,no,5
28745,2020-03-14,2021-10-29,19,8101,Traditional media outreach,1,3,G24,purchased,4.504615110099462,cash,1,no,16
23478,2021-01-11,2021-09-30,19,7180,Word of mouth,1,6,Q27,ignored,4.641711482284288,credit card,0,no,4
46136,2020-08-17,2020-11-12,26,11798,Influencer endorsements,1,0,C93,ignored,5.0,apple pay,0,no,26
47089,2021-05-11,2021-09-09,22,5988,Social media promotions,1,6,E45,ignored,5.0,debit card,0,no,8
20943,2022-05-28,2023-08-27,29,6768,Social media promotions,0,6,T78,ignored,5.0,debit card,0,no,17
5581,2020-04-25,2021-09-16,14,10189,Influencer endorsements,0,1,U03,ignored,4.857334644922877,debit card,0,no,12
37197,2020-07-04,2022-02-21,12,4836,Influencer endorsements,0,0,W79,ignored,1.8165672097392378,apple pay,0,yes,3
11885,2020-04-06,2020-06-21,13,7228,Word of mouth,0,4,P17,ignored,2.9854962713920856,credit card,0,yes,13
23410,2020-05-16,2023-05-16,27,5956,Word of mouth,1,5,G44,ignored,5.0,credit card,0,no,18
42133,2019-07-13,2021-08-04,20,11970,Influencer endorsements,1,6,J60,ignored,5.0,apple pay,0,no,8
49184,2019-07-02,2021-08-16,21,11880,Influencer endorsements,1,0,D41,ignored,4.399275384015577,paypal,0,no,2
36526,2020-01-08,2021-03-20,15,4582,Traditional media outreach,0,6,E05,purchased,5.0,cash,1,no,13
9615,2021-10-08,2022-07-11,11,11590,Influencer endorsements,1,1,S49,opened mail,5.0,google pay,0,no,1
11757,2020-06-18,2023-06-08,24,11087,Traditional media outreach,1,2,Y93,purchased,4.314014710244835,cash,0,no,3
7799,2019-04-11,2019-06-08,26,9965,Influencer endorsements,1,0,M65,ignored,5.0,apple pay,0,no,26
49669,2021-09-25,2021-11-13,8,11641,Online advertisements,0,3,K09,ignored,4.4548864490728315,debit card,0,no,8
46265,2020-02-19,2023-06-26,29,12051,Word of mouth,1,2,K51,ignored,5.0,credit card,0,no,4
24293,2019-04-02,2019-05-20,16,9975,Influencer endorsements,0,6,L29,opened mail,5.0,sezzle,0,no,16
